,epsilon,p,length,size
3996,2.0,0.85,3.47,0.9896
3995,2.0,0.875,3.31,0.9899000000000001
3994,2.0,0.9,3.28,0.9997
3993,2.0,0.925,3.27,0.9997500000000001
3992,2.0,0.95,3.24,0.9997
3991,2.0,0.975,3.11,0.9998999999999999
3990,2.0,1.0,3.17,0.9995500000000002
3989,2.2,0.0,1.0,0.004999999999999999
3988,2.2,0.005,1.01,0.005049999999999999
3987,2.2,0.01,1.08,0.0054
3986,2.2,0.015,1.12,0.00575
3985,2.2,0.02,1.73,0.015099999999999997
3984,2.2,0.025,1.64,0.016649999999999995
3983,2.2,0.03,1.61,0.016199999999999996
3982,2.2,0.035,2.57,0.046999999999999986
3981,2.2,0.04,3.09,0.07195
3980,2.2,0.045,4.41,0.13040000000000002
3979,2.2,0.05,4.08,0.12354999999999997
3978,2.2,0.055,5.62,0.1900999999999999
3977,2.2,0.06,4.87,0.17259999999999998
3976,2.2,0.065,7.24,0.29079999999999995
3975,2.2,0.07,5.71,0.25049999999999994
3974,2.2,0.075,6.91,0.31084999999999996
3973,2.2,0.08,8.11,0.39785
3972,2.2,0.085,5.82,0.29094999999999993
3971,2.2,0.09,6.42,0.33045
3970,2.2,0.095,6.63,0.3687500000000001
3969,2.2,0.1,7.93,0.48729999999999996
3968,2.2,0.125,8.12,0.5785
3967,2.2,0.15,7.84,0.6475
3966,2.2,0.175,8.23,0.77795
3965,2.2,0.2,7.25,0.75845
3964,2.2,0.225,7.64,0.8583000000000002
3963,2.2,0.25,6.99,0.868
3962,2.2,0.275,6.44,0.8686
3961,2.2,0.3,6.37,0.9091
3960,2.2,0.325,6.19,0.919
3959,2.2,0.35,5.88,0.9587
3958,2.2,0.375,5.63,0.9389500000000001
3957,2.2,0.4,5.5,0.9292
3956,2.2,0.425,5.34,0.9886500000000001
3955,2.2,0.45,5.04,0.9786500000000001
3954,2.2,0.475,4.95,0.9893500000000001
3953,2.2,0.5,4.77,0.949
3952,2.2,0.525,4.65,0.9795
3951,2.2,0.55,4.41,0.9796
3950,2.2,0.575,4.34,0.9797
3949,2.2,0.6,4.05,0.9596499999999999
3948,2.2,0.625,4.2,0.9994
3947,2.2,0.65,4.02,0.99965
3946,2.2,0.675,3.92,0.9991
3945,2.2,0.7,3.86,0.9897499999999999
3944,2.2,0.725,3.73,0.98965
3943,2.2,0.75,3.73,0.9994999999999998
3942,2.2,0.775,3.58,0.99965
3941,2.2,0.8,3.5,0.9997499999999999
3940,2.2,0.825,3.5,0.9994
3939,2.2,0.85,3.32,0.9997
3938,2.2,0.875,3.26,0.9995499999999999
3937,2.2,0.9,3.27,0.99965
3936,2.2,0.925,3.14,0.9998
3935,2.2,0.95,3.19,0.99965
3934,2.2,0.975,3.22,0.9997499999999999
3933,2.2,1.0,3.1,0.9997499999999999
3932,2.4,0.0,1.0,0.004999999999999999
3931,2.4,0.005,1.04,0.0052499999999999995
3930,2.4,0.01,1.05,0.0052499999999999995
3929,2.4,0.015,1.06,0.005349999999999999
3928,2.4,0.02,1.18,0.00595
3927,2.4,0.025,2.14,0.02639999999999999
3926,2.4,0.03,1.73,0.016849999999999997
3925,2.4,0.035,2.59,0.04494999999999998
3924,2.4,0.04,2.62,0.05499999999999998
3923,2.4,0.045,2.52,0.05434999999999998
3922,2.4,0.05,4.22,0.12359999999999997
3921,2.4,0.055,4.95,0.1625
3920,2.4,0.06,6.17,0.23129999999999995
3919,2.4,0.065,4.82,0.19139999999999993
3918,2.4,0.07,5.67,0.23244999999999993
3917,2.4,0.075,6.61,0.3001499999999999
3916,2.4,0.08,5.69,0.2713999999999999
3915,2.4,0.085,7.35,0.3879000000000001
3914,2.4,0.09,6.26,0.33085000000000003
3913,2.4,0.095,8.02,0.4493000000000001
3912,2.4,0.1,6.98,0.4095499999999999
3911,2.4,0.125,8.31,0.6084
3910,2.4,0.15,7.46,0.61905
3909,2.4,0.175,7.88,0.7282500000000001
3908,2.4,0.2,7.78,0.80715
3907,2.4,0.225,7.18,0.8275
3906,2.4,0.25,7.02,0.8485999999999998
3905,2.4,0.275,6.71,0.87895
3904,2.4,0.3,6.28,0.8989999999999999
3903,2.4,0.325,6.49,0.9583000000000002
3902,2.4,0.35,5.87,0.9289000000000001
3901,2.4,0.375,5.66,0.9294499999999999
3900,2.4,0.4,5.47,0.9692500000000002
3899,2.4,0.425,5.27,0.9592999999999999
3898,2.4,0.45,4.9,0.9395000000000002
3897,2.4,0.475,4.87,0.94975
3896,2.4,0.5,4.81,0.9793999999999999
3895,2.4,0.525,4.82,0.9996
3894,2.4,0.55,4.46,0.9791
3893,2.4,0.575,4.28,0.9992500000000001
3892,2.4,0.6,4.32,0.9992000000000002
3891,2.4,0.625,4.08,0.9995499999999999
3890,2.4,0.65,3.93,0.98965
3889,2.4,0.675,3.98,0.9995
3888,2.4,0.7,3.99,0.9994
3887,2.4,0.725,3.76,0.9998
3886,2.4,0.75,3.64,0.9995
3885,2.4,0.775,3.61,0.98965
3884,2.4,0.8,3.51,0.9995
3883,2.4,0.825,3.43,0.99965
3882,2.4,0.85,3.45,0.9995500000000002
3881,2.4,0.875,3.31,0.99965
3880,2.4,0.9,3.28,0.9995500000000002
3879,2.4,0.925,3.15,0.99965
3878,2.4,0.95,3.22,0.99965
3877,2.4,0.975,3.09,0.9995500000000002
3876,2.4,1.0,3.11,0.9997
3875,2.6,0.0,1.0,0.004999999999999999
3874,2.6,0.005,1.06,0.0053
3873,2.6,0.01,1.09,0.00545
3872,2.6,0.015,1.1,0.0055000000000000005
3871,2.6,0.02,1.11,0.005750000000000001
3870,2.6,0.025,1.29,0.006999999999999999
3869,2.6,0.03,1.52,0.015499999999999993
3868,2.6,0.035,2.29,0.03594999999999998
3867,2.6,0.04,2.12,0.035599999999999986
3866,2.6,0.045,4.11,0.1051
3865,2.6,0.05,4.12,0.1217
3864,2.6,0.055,6.2,0.21174999999999994
3863,2.6,0.06,4.8,0.16269999999999996
3862,2.6,0.065,6.35,0.2603999999999999
3861,2.6,0.07,6.13,0.2513999999999999
3860,2.6,0.075,7.15,0.32965000000000005
3859,2.6,0.08,7.23,0.3505500000000001
3858,2.6,0.085,7.41,0.38975000000000004
3857,2.6,0.09,8.62,0.45945
3856,2.6,0.095,7.77,0.43060000000000004
3855,2.6,0.1,8.26,0.4970500000000001
3854,2.6,0.125,7.95,0.5489999999999998
3853,2.6,0.15,6.76,0.5289499999999999
3852,2.6,0.175,7.8,0.71835
3851,2.6,0.2,7.76,0.79815
3850,2.6,0.225,6.93,0.7688499999999999
3849,2.6,0.25,7.08,0.8681000000000002
3848,2.6,0.275,6.71,0.8883500000000002
3847,2.6,0.3,6.45,0.9183
3846,2.6,0.325,5.92,0.8988999999999998
3845,2.6,0.35,5.88,0.9191000000000001
3844,2.6,0.375,5.72,0.9192999999999999
3843,2.6,0.4,5.41,0.9588
3842,2.6,0.425,5.07,0.9490500000000001
3841,2.6,0.45,5.21,0.97875
3840,2.6,0.475,4.98,0.9886499999999999
3839,2.6,0.5,4.67,0.97935
3838,2.6,0.525,4.53,0.9793500000000002
3837,2.6,0.55,4.53,0.9992500000000001
3836,2.6,0.575,4.37,0.9594499999999999
3835,2.6,0.6,4.11,0.9895
3834,2.6,0.625,4.12,0.9897499999999999
3833,2.6,0.65,4.02,0.99965
3832,2.6,0.675,3.87,0.9894999999999999
3831,2.6,0.7,3.84,0.9898
3830,2.6,0.725,3.9,0.9995999999999999
3829,2.6,0.75,3.74,0.99965
3828,2.6,0.775,3.79,0.99965
3827,2.6,0.8,3.52,0.9995
3826,2.6,0.825,3.48,0.9997499999999999
3825,2.6,0.85,3.47,0.9995
3824,2.6,0.875,3.37,0.9998999999999999
3823,2.6,0.9,3.33,0.9997499999999999
3822,2.6,0.925,3.3,0.99995
3821,2.6,0.95,3.17,0.9997
3820,2.6,0.975,3.11,0.99965
3819,2.6,1.0,3.02,0.9996
3818,2.8,0.0,1.0,0.004999999999999999
3817,2.8,0.005,1.02,0.005099999999999999
3816,2.8,0.01,1.05,0.00525
3815,2.8,0.015,1.1,0.005599999999999999
3814,2.8,0.02,1.25,0.006450000000000001
3813,2.8,0.025,1.38,0.007150000000000001
3812,2.8,0.03,1.74,0.017149999999999995
3811,2.8,0.035,3.1,0.0635
3810,2.8,0.04,3.82,0.0925
3809,2.8,0.045,3.89,0.10329999999999999
3808,2.8,0.05,4.52,0.13299999999999998
3807,2.8,0.055,4.94,0.16414999999999996
3806,2.8,0.06,5.34,0.19289999999999993
3805,2.8,0.065,5.28,0.1930999999999999
3804,2.8,0.07,6.57,0.2897999999999999
3803,2.8,0.075,8.39,0.38755
3802,2.8,0.08,6.28,0.2901499999999999
3801,2.8,0.085,7.17,0.36034999999999995
3800,2.8,0.09,6.53,0.32059999999999994
3799,2.8,0.095,6.95,0.3897500000000001
3798,2.8,0.1,9.69,0.57795
3797,2.8,0.125,8.91,0.63825
3796,2.8,0.15,8.23,0.64905
3795,2.8,0.175,8.33,0.79765
3794,2.8,0.2,7.97,0.8371999999999999
3793,2.8,0.225,7.71,0.8588499999999999
3792,2.8,0.25,6.97,0.8389
3791,2.8,0.275,6.57,0.8783999999999998
3790,2.8,0.3,6.56,0.9085
3789,2.8,0.325,6.25,0.92845
3788,2.8,0.35,6.04,0.9586000000000001
3787,2.8,0.375,5.49,0.89935
3786,2.8,0.4,5.42,0.92875
3785,2.8,0.425,5.24,0.9591
3784,2.8,0.45,5.17,0.9591500000000002
3783,2.8,0.475,5.04,0.98925
3782,2.8,0.5,4.88,0.9894
3781,2.8,0.525,4.63,0.9892500000000001
3780,2.8,0.55,4.51,0.9992500000000001
3779,2.8,0.575,4.41,0.99905
3778,2.8,0.6,4.1,0.9795500000000001
3777,2.8,0.625,4.25,0.9992
3776,2.8,0.65,4.03,0.9894999999999999
3775,2.8,0.675,3.98,0.9892500000000001
3774,2.8,0.7,3.82,0.9993000000000001
3773,2.8,0.725,3.73,0.99965
3772,2.8,0.75,3.54,0.9994
3771,2.8,0.775,3.64,0.9894
3770,2.8,0.8,3.59,0.9996
3769,2.8,0.825,3.47,0.9996
3768,2.8,0.85,3.42,0.9997
3767,2.8,0.875,3.35,0.99965
3766,2.8,0.9,3.26,0.99945
3765,2.8,0.925,3.23,0.9997500000000001
3764,2.8,0.95,3.21,0.9997999999999999
3763,2.8,0.975,3.12,0.9997
3762,2.8,1.0,3.16,0.9998
3761,3.0,0.0,1.0,0.004999999999999999
3760,3.0,0.005,1.03,0.005149999999999999
3759,3.0,0.01,1.08,0.005399999999999999
3758,3.0,0.015,1.18,0.00605
3757,3.0,0.02,1.58,0.014649999999999996
3756,3.0,0.025,1.67,0.016199999999999996
3755,3.0,0.03,3.06,0.05394999999999998
3754,3.0,0.035,1.37,0.0083
3753,3.0,0.04,2.95,0.06429999999999998
3752,3.0,0.045,2.93,0.06594999999999998
3751,3.0,0.05,4.15,0.11489999999999996
3750,3.0,0.055,4.95,0.16169999999999998
3749,3.0,0.06,6.96,0.2694999999999999
3748,3.0,0.065,4.82,0.18285
3747,3.0,0.07,7.71,0.33934999999999993
3746,3.0,0.075,6.61,0.3006999999999999
3745,3.0,0.08,7.0,0.32959999999999995
3744,3.0,0.085,7.95,0.3992499999999999
3743,3.0,0.09,7.28,0.38925
3742,3.0,0.095,7.96,0.457
3741,3.0,0.1,7.56,0.44885000000000014
3740,3.0,0.125,8.26,0.5688
3739,3.0,0.15,8.2,0.6872500000000001
3738,3.0,0.175,8.03,0.7668999999999998
3737,3.0,0.2,7.34,0.75795
3736,3.0,0.225,7.37,0.8386499999999999
3735,3.0,0.25,6.78,0.83855
3734,3.0,0.275,6.84,0.9083999999999999
3733,3.0,0.3,6.63,0.92825
3732,3.0,0.325,6.14,0.9088
3731,3.0,0.35,5.84,0.9288000000000001
3730,3.0,0.375,5.69,0.9591000000000001
3729,3.0,0.4,5.79,0.9886
3728,3.0,0.425,5.27,0.95915
3727,3.0,0.45,4.88,0.94875
3726,3.0,0.475,5.13,0.9991499999999999
3725,3.0,0.5,4.68,0.9988499999999999
3724,3.0,0.525,4.71,0.9892500000000001
3723,3.0,0.55,4.51,0.9893000000000001
3722,3.0,0.575,4.42,0.9993500000000001
3721,3.0,0.6,4.25,0.97935
3720,3.0,0.625,4.16,0.9995
3719,3.0,0.65,4.16,0.9994
3718,3.0,0.675,3.97,0.99965
3717,3.0,0.7,3.79,0.9894
3716,3.0,0.725,3.72,0.9995
3715,3.0,0.75,3.73,0.98965
3714,3.0,0.775,3.53,0.9997500000000001
3713,3.0,0.8,3.49,0.9994999999999998
3712,3.0,0.825,3.4,0.9997
3711,3.0,0.85,3.32,0.98985
3710,3.0,0.875,3.42,0.9997
3709,3.0,0.9,3.44,0.9994500000000001
3708,3.0,0.925,3.25,0.99985
3707,3.0,0.95,3.19,0.99965
3706,3.0,0.975,3.11,0.99985
3705,3.0,1.0,3.11,0.9997499999999999
3704,3.2,0.0,1.0,0.004999999999999999
3703,3.2,0.005,1.05,0.0052499999999999995
3702,3.2,0.01,1.08,0.005399999999999999
3701,3.2,0.015,1.14,0.00575
3700,3.2,0.02,1.26,0.0066
3699,3.2,0.025,1.64,0.015499999999999993
3698,3.2,0.03,1.67,0.016799999999999992
3697,3.2,0.035,2.33,0.03589999999999999
3696,3.2,0.04,2.78,0.05539999999999999
3695,3.2,0.045,4.36,0.12254999999999999
3694,3.2,0.05,3.28,0.08485
3693,3.2,0.055,4.77,0.16150000000000003
3692,3.2,0.06,4.7,0.1618499999999999
3691,3.2,0.065,4.96,0.18224999999999994
3690,3.2,0.07,4.9,0.18364999999999995
3689,3.2,0.075,6.8,0.3098499999999999
3688,3.2,0.08,6.32,0.30099999999999993
3687,3.2,0.085,6.81,0.34974999999999995
3686,3.2,0.09,8.14,0.44815000000000005
3685,3.2,0.095,7.38,0.41910000000000003
3684,3.2,0.1,7.73,0.44854999999999995
3683,3.2,0.125,7.89,0.5481
3682,3.2,0.15,7.73,0.6282
3681,3.2,0.175,8.2,0.7577499999999999
3680,3.2,0.2,7.63,0.8085499999999999
3679,3.2,0.225,7.32,0.7981999999999999
3678,3.2,0.25,6.79,0.868
3677,3.2,0.275,6.55,0.8682000000000001
3676,3.2,0.3,6.81,0.96855
3675,3.2,0.325,6.3,0.9281
3674,3.2,0.35,5.93,0.8891499999999999
3673,3.2,0.375,5.74,0.95845
3672,3.2,0.4,5.33,0.94895
3671,3.2,0.425,5.29,0.9789
3670,3.2,0.45,5.23,0.9892500000000001
3669,3.2,0.475,5.1,0.9795
3668,3.2,0.5,4.76,0.9694499999999999
3667,3.2,0.525,4.68,0.99865
3666,3.2,0.55,4.47,0.9793000000000001
3665,3.2,0.575,4.41,0.9890000000000001
3664,3.2,0.6,4.14,0.9693999999999999
3663,3.2,0.625,4.15,0.9993000000000001
3662,3.2,0.65,4.05,0.9995999999999999
3661,3.2,0.675,3.84,0.9893000000000001
3660,3.2,0.7,3.8,0.9994999999999998
3659,3.2,0.725,3.72,0.9994
3658,3.2,0.75,3.66,0.99945
3657,3.2,0.775,3.57,0.9995000000000002
3656,3.2,0.8,3.38,0.98965
3655,3.2,0.825,3.47,0.9995
3654,3.2,0.85,3.37,0.9995999999999999
3653,3.2,0.875,3.34,0.99985
3652,3.2,0.9,3.23,0.9996
3651,3.2,0.925,3.24,0.9997499999999999
3650,3.2,0.95,3.23,0.9994999999999998
3649,3.2,0.975,3.17,0.9993500000000001
3648,3.2,1.0,3.14,0.9997999999999999
3647,3.4,0.0,1.0,0.004999999999999999
3646,3.4,0.005,1.06,0.005349999999999999
3645,3.4,0.01,1.12,0.0057
3644,3.4,0.015,1.17,0.0059
3643,3.4,0.02,1.2,0.00645
3642,3.4,0.025,1.8,0.01704999999999999
3641,3.4,0.03,1.93,0.025849999999999988
3640,3.4,0.035,2.77,0.05329999999999999
3639,3.4,0.04,3.66,0.08439999999999999
3638,3.4,0.045,2.5,0.04634999999999998
3637,3.4,0.05,4.45,0.13319999999999999
3636,3.4,0.055,4.2,0.1341
3635,3.4,0.06,7.39,0.28939999999999994
3634,3.4,0.065,6.98,0.28945
3633,3.4,0.07,8.09,0.3587499999999999
3632,3.4,0.075,5.45,0.2420499999999999
3631,3.4,0.08,6.29,0.2903
3630,3.4,0.085,6.38,0.31079999999999997
3629,3.4,0.09,7.59,0.41850000000000004
3628,3.4,0.095,6.91,0.3892000000000001
3627,3.4,0.1,7.37,0.43855
3626,3.4,0.125,8.63,0.6171000000000001
3625,3.4,0.15,7.67,0.6175
3624,3.4,0.175,7.24,0.6691000000000001
3623,3.4,0.2,8.12,0.8670500000000001
3622,3.4,0.225,7.24,0.80765
3621,3.4,0.25,7.06,0.8583
3620,3.4,0.275,6.63,0.89845
3619,3.4,0.3,6.44,0.9085499999999999
3618,3.4,0.325,6.19,0.9388999999999998
3617,3.4,0.35,6.19,0.9782500000000001
3616,3.4,0.375,5.86,0.9588
3615,3.4,0.4,5.45,0.9490000000000001
3614,3.4,0.425,5.4,0.9889999999999999
3613,3.4,0.45,5.32,0.9896
3612,3.4,0.475,4.81,0.9795
3611,3.4,0.5,4.68,0.9693999999999999
3610,3.4,0.525,4.7,0.9993000000000001
3609,3.4,0.55,4.46,0.97925
3608,3.4,0.575,4.31,0.99905
3607,3.4,0.6,4.28,0.9894
3606,3.4,0.625,4.15,0.9992
3605,3.4,0.65,4.03,0.98965
3604,3.4,0.675,3.93,0.9997499999999999
3603,3.4,0.7,3.74,0.9896
3602,3.4,0.725,3.78,0.99965
3601,3.4,0.75,3.72,0.9995000000000002
3600,3.4,0.775,3.57,0.9995500000000002
3599,3.4,0.8,3.48,0.9998500000000001
3598,3.4,0.825,3.51,0.9997499999999999
3597,3.4,0.85,3.39,0.9995
3596,3.4,0.875,3.34,0.99965
3595,3.4,0.9,3.31,0.9998
3594,3.4,0.925,3.27,0.9995
3593,3.4,0.95,3.16,0.9997
3592,3.4,0.975,3.18,0.9997
3591,3.4,1.0,3.09,0.9998
3590,3.6,0.0,1.0,0.004999999999999999
3589,3.6,0.005,1.07,0.005399999999999999
3588,3.6,0.01,1.09,0.005449999999999999
3587,3.6,0.015,1.14,0.005699999999999999
3586,3.6,0.02,1.24,0.006300000000000001
3585,3.6,0.025,1.97,0.02499999999999999
3584,3.6,0.03,1.95,0.02625
3583,3.6,0.035,3.28,0.06484999999999998
3582,3.6,0.04,3.08,0.056799999999999996
3581,3.6,0.045,5.48,0.1602
3580,3.6,0.05,4.04,0.12229999999999999
3579,3.6,0.055,6.62,0.2308499999999999
3578,3.6,0.06,5.25,0.19094999999999995
3577,3.6,0.065,5.29,0.20184999999999992
3576,3.6,0.07,6.37,0.2804499999999999
3575,3.6,0.075,6.99,0.31054999999999994
3574,3.6,0.08,6.92,0.32989999999999997
3573,3.6,0.085,6.14,0.30915
3572,3.6,0.09,7.8,0.4382000000000001
3571,3.6,0.095,8.71,0.49715000000000004
3570,3.6,0.1,8.34,0.4795
3569,3.6,0.125,9.16,0.6572500000000001
3568,3.6,0.15,8.01,0.6481
3567,3.6,0.175,8.27,0.76715
3566,3.6,0.2,7.22,0.7289500000000001
3565,3.6,0.225,7.34,0.8181500000000002
3564,3.6,0.25,6.93,0.8584
3563,3.6,0.275,6.51,0.8491
3562,3.6,0.3,6.41,0.9081000000000001
3561,3.6,0.325,6.33,0.9485999999999999
3560,3.6,0.35,6.12,0.95875
3559,3.6,0.375,5.57,0.93935
3558,3.6,0.4,5.48,0.9595000000000001
3557,3.6,0.425,5.2,0.9688
3556,3.6,0.45,5.0,0.9886500000000001
3555,3.6,0.475,4.76,0.9592500000000002
3554,3.6,0.5,4.68,0.9793999999999999
3553,3.6,0.525,4.57,0.9888499999999999
3552,3.6,0.55,4.45,0.9795
3551,3.6,0.575,4.32,0.9793000000000001
3550,3.6,0.6,4.31,0.9893500000000001
3549,3.6,0.625,4.1,0.9894499999999999
3548,3.6,0.65,3.97,0.9898500000000001
3547,3.6,0.675,3.99,0.9993500000000001
3546,3.6,0.7,3.8,0.9898
3545,3.6,0.725,3.64,0.99965
3544,3.6,0.75,3.73,0.9994500000000002
3543,3.6,0.775,3.55,0.9996
3542,3.6,0.8,3.42,0.9997
3541,3.6,0.825,3.5,0.9997999999999999
3540,3.6,0.85,3.32,0.9997
3539,3.6,0.875,3.3,0.9997999999999999
3538,3.6,0.9,3.32,0.9995500000000002
3537,3.6,0.925,3.23,0.9994500000000001
3536,3.6,0.95,3.07,0.99995
3535,3.6,0.975,3.13,0.9997
3534,3.6,1.0,3.03,0.9996
3533,3.8,0.0,1.0,0.004999999999999999
3532,3.8,0.005,1.01,0.005049999999999999
3531,3.8,0.01,1.07,0.005449999999999999
3530,3.8,0.015,1.1,0.00565
3529,3.8,0.02,1.69,0.015599999999999996
3528,3.8,0.025,1.31,0.006750000000000001
3527,3.8,0.03,1.41,0.007700000000000001
3526,3.8,0.035,3.05,0.06444999999999998
3525,3.8,0.04,3.27,0.07384999999999999
3524,3.8,0.045,4.12,0.1118
3523,3.8,0.05,4.71,0.14445
3522,3.8,0.055,5.56,0.19294999999999998
3521,3.8,0.06,6.63,0.24109999999999993
3520,3.8,0.065,6.62,0.2705499999999999
3519,3.8,0.07,6.28,0.26104999999999995
3518,3.8,0.075,8.0,0.3786499999999999
3517,3.8,0.08,7.11,0.35735
3516,3.8,0.085,7.13,0.36920000000000003
3515,3.8,0.09,8.37,0.4484500000000001
3514,3.8,0.095,8.9,0.5261
3513,3.8,0.1,7.27,0.4090999999999999
3512,3.8,0.125,7.54,0.53885
3511,3.8,0.15,7.85,0.6382
3510,3.8,0.175,8.18,0.80655
3509,3.8,0.2,7.58,0.7780000000000001
3508,3.8,0.225,7.52,0.847
3507,3.8,0.25,7.31,0.9177
3506,3.8,0.275,7.22,0.9380499999999999
3505,3.8,0.3,6.41,0.9088499999999999
3504,3.8,0.325,6.14,0.9190499999999999
3503,3.8,0.35,5.8,0.9381999999999999
3502,3.8,0.375,5.55,0.919
3501,3.8,0.4,5.18,0.9290999999999999
3500,3.8,0.425,5.37,0.9489500000000001
3499,3.8,0.45,5.11,0.97945
3498,3.8,0.475,4.79,0.9791500000000001
3497,3.8,0.5,4.78,0.9888499999999999
3496,3.8,0.525,4.58,0.96935
3495,3.8,0.55,4.4,0.9795
3494,3.8,0.575,4.39,0.9993000000000001
3493,3.8,0.6,4.38,0.9992500000000001
3492,3.8,0.625,4.25,0.99965
3491,3.8,0.65,4.09,0.9992
3490,3.8,0.675,3.96,0.9896
3489,3.8,0.7,3.78,0.9994999999999998
3488,3.8,0.725,3.76,0.9898
3487,3.8,0.75,3.62,0.9995
3486,3.8,0.775,3.56,0.9992500000000001
3485,3.8,0.8,3.47,0.9998
3484,3.8,0.825,3.43,0.9997999999999999
3483,3.8,0.85,3.49,0.9997999999999999
3482,3.8,0.875,3.34,0.99965
3481,3.8,0.9,3.34,0.9995499999999999
3480,3.8,0.925,3.24,0.9998500000000001
3479,3.8,0.95,3.19,0.9998
3478,3.8,0.975,3.16,0.9997999999999999
3477,3.8,1.0,3.15,0.99965
3476,4.0,0.0,1.0,0.004999999999999999
3475,4.0,0.005,1.03,0.005149999999999999
3474,4.0,0.01,1.07,0.0055000000000000005
3473,4.0,0.015,1.07,0.005349999999999999
3472,4.0,0.02,1.69,0.014800000000000002
3471,4.0,0.025,2.04,0.025249999999999995
3470,4.0,0.03,1.27,0.006449999999999999
3469,4.0,0.035,2.41,0.044349999999999994
3468,4.0,0.04,2.7,0.055299999999999995
3467,4.0,0.045,1.97,0.028249999999999994
3466,4.0,0.05,5.37,0.16254999999999994
3465,4.0,0.055,5.12,0.17134999999999995
3464,4.0,0.06,5.62,0.20224999999999993
3463,4.0,0.065,5.54,0.22154999999999994
3462,4.0,0.07,6.02,0.2418999999999999
3461,4.0,0.075,5.83,0.25225
3460,4.0,0.08,7.65,0.35935
3459,4.0,0.085,7.41,0.3695000000000001
3458,4.0,0.09,6.42,0.3408500000000001
3457,4.0,0.095,7.43,0.42840000000000006
3456,4.0,0.1,7.72,0.4396
3455,4.0,0.125,7.84,0.57785
3454,4.0,0.15,7.22,0.59845
3453,4.0,0.175,8.05,0.757
3452,4.0,0.2,7.94,0.8181999999999999
3451,4.0,0.225,7.12,0.799
3450,4.0,0.25,7.11,0.8482
3449,4.0,0.275,6.91,0.8888999999999999
3448,4.0,0.3,6.42,0.8985499999999998
3447,4.0,0.325,5.95,0.8889500000000001
3446,4.0,0.35,6.08,0.9692000000000001
3445,4.0,0.375,5.74,0.9589500000000001
3444,4.0,0.4,5.37,0.95915
3443,4.0,0.425,5.2,0.9192999999999999
3442,4.0,0.45,5.17,0.9987
3441,4.0,0.475,4.99,0.9695
3440,4.0,0.5,4.7,0.97935
3439,4.0,0.525,4.61,0.9798
3438,4.0,0.55,4.51,0.9991499999999999
3437,4.0,0.575,4.35,0.9695
3436,4.0,0.6,4.23,0.9894
3435,4.0,0.625,4.12,0.9895499999999999
3434,4.0,0.65,4.21,0.9995499999999999
3433,4.0,0.675,3.97,0.97935
3432,4.0,0.7,3.8,0.99925
3431,4.0,0.725,3.66,0.9994999999999998
3430,4.0,0.75,3.77,0.9994500000000002
3429,4.0,0.775,3.58,0.9895000000000002
3428,4.0,0.8,3.57,0.9997999999999999
3427,4.0,0.825,3.52,0.9998000000000001
3426,4.0,0.85,3.43,0.9995
3425,4.0,0.875,3.38,0.9993500000000001
3424,4.0,0.9,3.24,0.9997499999999999
3423,4.0,0.925,3.2,0.99995
3422,4.0,0.95,3.14,0.99965
3421,4.0,0.975,3.16,0.9995
3420,4.0,1.0,3.1,0.99985
3419,4.2,0.0,1.0,0.004999999999999999
3418,4.2,0.005,1.05,0.0052499999999999995
3417,4.2,0.01,1.09,0.005549999999999999
3416,4.2,0.015,1.14,0.0057
3415,4.2,0.02,1.16,0.006
3414,4.2,0.025,1.14,0.0058
3413,4.2,0.03,2.58,0.03719999999999998
3412,4.2,0.035,2.44,0.037249999999999985
3411,4.2,0.04,3.09,0.06439999999999997
3410,4.2,0.045,4.91,0.1419
3409,4.2,0.05,3.64,0.10349999999999998
3408,4.2,0.055,4.88,0.17089999999999997
3407,4.2,0.06,5.23,0.19184999999999997
3406,4.2,0.065,5.89,0.2397499999999999
3405,4.2,0.07,6.3,0.27075
3404,4.2,0.075,8.33,0.37949999999999995
3403,4.2,0.08,7.74,0.37089999999999995
3402,4.2,0.085,7.19,0.3503
3401,4.2,0.09,7.15,0.3799
3400,4.2,0.095,6.94,0.40005
3399,4.2,0.1,7.54,0.449
3398,4.2,0.125,8.26,0.5882
3397,4.2,0.15,7.85,0.6386000000000002
3396,4.2,0.175,7.49,0.6776500000000002
3395,4.2,0.2,8.33,0.8677000000000001
3394,4.2,0.225,7.69,0.8776
3393,4.2,0.25,7.26,0.8880500000000001
3392,4.2,0.275,6.67,0.8585499999999999
3391,4.2,0.3,6.32,0.89875
3390,4.2,0.325,6.21,0.92915
3389,4.2,0.35,5.72,0.90875
3388,4.2,0.375,5.61,0.9288
3387,4.2,0.4,5.39,0.9688999999999999
3386,4.2,0.425,5.14,0.9693
3385,4.2,0.45,5.31,0.9887500000000001
3384,4.2,0.475,4.84,0.9592500000000002
3383,4.2,0.5,4.75,0.96915
3382,4.2,0.525,4.66,0.9989
3381,4.2,0.55,4.38,0.9497
3380,4.2,0.575,4.28,0.9892
3379,4.2,0.6,4.15,0.9793999999999999
3378,4.2,0.625,4.14,0.9993500000000001
3377,4.2,0.65,4.07,0.9895500000000002
3376,4.2,0.675,3.97,0.9894999999999999
3375,4.2,0.7,3.71,0.9995500000000002
3374,4.2,0.725,3.84,0.99945
3373,4.2,0.75,3.71,0.9994500000000001
3372,4.2,0.775,3.6,0.9997499999999999
3371,4.2,0.8,3.51,0.9997
3370,4.2,0.825,3.57,0.9994999999999998
