,p,q,length,size
732,0.025,0.4,1.06,0.00042400000000000006
731,0.025,0.5,1.1,0.0004400000000000001
730,0.025,0.6,1.12,0.00044800000000000005
729,0.025,0.7,1.12,0.00044800000000000005
728,0.025,0.8,1.06,0.00042400000000000006
727,0.025,0.9,1.16,0.0004640000000000001
726,0.025,1.0,1.1,0.0004560000000000001
725,0.0275,0.0,1.06,0.00042400000000000006
724,0.0275,0.1,1.14,0.000456
723,0.0275,0.2,1.14,0.000456
722,0.0275,0.3,1.06,0.0004320000000000001
721,0.0275,0.4,1.08,0.0004320000000000001
720,0.0275,0.5,1.06,0.00042400000000000006
719,0.0275,0.6,1.14,0.0004640000000000001
718,0.0275,0.7,1.14,0.00047200000000000003
717,0.0275,0.8,1.16,0.00047200000000000014
716,0.0275,0.9,1.18,0.00047200000000000003
715,0.0275,1.0,1.12,0.0004560000000000001
714,0.03,0.0,1.1,0.00044000000000000007
713,0.03,0.1,1.04,0.00041600000000000014
712,0.03,0.2,1.02,0.00040800000000000005
711,0.03,0.3,1.22,0.0004880000000000001
710,0.03,0.4,1.12,0.00044800000000000005
709,0.03,0.5,1.1,0.00044800000000000005
708,0.03,0.6,1.1,0.0004400000000000001
707,0.03,0.7,1.06,0.00042400000000000006
706,0.03,0.8,1.24,0.0005040000000000001
705,0.03,0.9,1.2,0.00048000000000000007
704,0.03,1.0,1.1,0.00044000000000000007
703,0.0325,0.0,1.12,0.00044800000000000005
702,0.0325,0.1,1.16,0.00047200000000000003
701,0.0325,0.2,1.14,0.0004560000000000001
700,0.0325,0.3,1.18,0.0005200000000000001
699,0.0325,0.4,1.12,0.0004560000000000001
698,0.0325,0.5,1.18,0.00048
697,0.0325,0.6,1.18,0.00047200000000000003
696,0.0325,0.7,1.24,0.0005120000000000001
695,0.0325,0.8,1.06,0.0004320000000000001
694,0.0325,0.9,1.2,0.0005040000000000001
693,0.0325,1.0,1.18,0.00047200000000000003
692,0.035,0.0,1.26,0.0005200000000000001
691,0.035,0.1,1.2,0.00048
690,0.035,0.2,1.12,0.000456
689,0.035,0.3,1.08,0.00043999999999999996
688,0.035,0.4,1.2,0.0004800000000000002
687,0.035,0.5,1.14,0.0004640000000000001
686,0.035,0.6,1.18,0.00048
685,0.035,0.7,1.14,0.000456
684,0.035,0.8,1.16,0.00047200000000000003
683,0.035,0.9,1.08,0.0004320000000000001
682,0.035,1.0,1.14,0.00047200000000000003
681,0.0375,0.0,1.12,0.0004560000000000001
680,0.0375,0.1,1.12,0.00044800000000000016
679,0.0375,0.2,1.12,0.00044800000000000005
678,0.0375,0.3,1.14,0.000456
677,0.0375,0.4,1.1,0.00045600000000000013
676,0.0375,0.5,1.16,0.00046400000000000006
675,0.0375,0.6,1.14,0.00046400000000000006
674,0.0375,0.7,1.3,0.0005360000000000001
673,0.0375,0.8,1.12,0.0004640000000000001
672,0.0375,0.9,1.12,0.00044800000000000005
671,0.0375,1.0,1.18,0.0004880000000000001
670,0.04,0.0,1.12,0.00044800000000000016
669,0.04,0.1,1.16,0.00048
668,0.04,0.2,1.24,0.000544
667,0.04,0.3,1.14,0.0004640000000000001
666,0.04,0.4,1.12,0.00045600000000000013
665,0.04,0.5,1.18,0.0005040000000000001
664,0.04,0.6,1.24,0.0005200000000000001
663,0.04,0.7,1.12,0.00044800000000000005
662,0.04,0.8,1.2,0.0005040000000000001
661,0.04,0.9,1.12,0.0004640000000000001
660,0.04,1.0,1.16,0.00048
659,0.0425,0.0,1.16,0.0004640000000000001
658,0.0425,0.1,1.14,0.00048
657,0.0425,0.2,1.12,0.00044800000000000005
656,0.0425,0.3,1.08,0.00043200000000000004
655,0.0425,0.4,1.18,0.0004800000000000002
654,0.0425,0.5,1.22,0.00052
653,0.0425,0.6,1.18,0.00047200000000000003
652,0.0425,0.7,1.14,0.0004560000000000001
651,0.0425,0.8,1.18,0.00048799999999999994
650,0.0425,0.9,1.16,0.00046400000000000006
649,0.0425,1.0,1.08,0.0004400000000000001
